datasetKey,nOccurrencesInDerivedDataset
00255299-4034-4f8d-86ed-805dacc0ec5d,31
00456d9f-634c-4366-a3f0-791f9676563a,2
0096dfc0-9925-47ef-9700-9b77814295f1,874
014f3d14-a409-4090-b690-a10bd18e6e62,40
01536750-8af5-430c-b0e2-077dee7f7d5f,7
015ff14b-bc6e-4631-a34c-2af4f512c888,2
026af01f-d227-476f-9e81-d5273eca6a2b,9
0284b82d-cdd1-4d67-83bd-c8e42e988adb,350
02d1e772-54ee-4767-b4b8-c35f0c7270ba,1570
02fbd55d-d574-460b-bccc-d9a2eab564f0,72
0348540a-e644-4496-89d3-c257da9ad776,8
03c127a4-ac74-42fa-8254-9fa7fdf09d5d,170
03d13f7f-fe29-4558-8869-9896b102f4f9,3
04106094-0ced-419a-8216-17efdae78b90,48
042f54ba-58de-454d-a9f0-ee548e2fe438,12
04376115-6207-4af2-8d51-d71f5fbb21be,53
05b22baa-5b85-4212-a93a-2fe81f5254dd,134
0645ccdb-e001-4ab0-9729-51f1755e007e,82497
066c8a43-ce9f-4cf3-a428-44fb698f079b,18995
07609307-26f9-490f-89ea-4e74497e3c0d,208
0777230d-c252-4f99-9c16-cc63c09dfd52,385
07a5ec6c-e271-4d6a-865c-7f9a6b484514,4763
082cd887-844e-4545-a15e-02578d3a672d,241
08afaadf-34ba-4aeb-be23-027da1e38676,16
094d437c-6453-488c-803d-7fc243d9d730,15
09c38deb-8674-446e-8be8-3347f6c094ef,7261
09d66ac8-a0d2-419b-a566-e36d2d33a44a,3
0a013f89-5381-4578-9d82-5f28fd5f1ef6,5276
0a2b1b5e-eaae-4bd5-847a-26b3e27116a5,158
0a7c5a4e-db9b-4349-a793-ef4b3ef9e025,326
0afba960-be3b-4202-a7de-736ae05aec9e,27
0b328835-ea95-4ec3-a0f4-dd2dba993f1f,6
0b394791-e0c5-4f94-bc8e-bbfe5c32920d,1
0c2b68be-1332-4cdc-880a-0c9a835467a0,1
0cbde2ee-4dc2-42c6-b345-e63887411199,46
0ce9ca26-0e89-4f63-94fe-124d47a4451a,162
0d6cd6f4-b240-4fcf-9118-d2d7659e8342,1234
0d7413fd-1cdb-4435-b3c0-dc1218cc19ee,3
0d8cc344-d880-42ec-a200-40b4ad71affd,67903
0d9accc4-309d-44ad-901e-f221e1d0ec80,4004
0de20c27-792a-461b-ae59-3ab8221a1113,952
0e2d604a-0ba5-4ed9-ae7a-31ceac2aa1fb,82
0e2f9870-33bf-4ad9-a6cf-379169b428cd,1
0eacbbfa-45b9-41dc-b7e3-1f0773ce1477,13157
0eb4ad83-f80d-4d86-83d8-f3a55ddd216f,51
0eca5dd3-55ec-4c0e-ba89-972b40786343,3
0efbb3b3-6473-414a-af91-cdbcbcd8aba1,5084
0ffe005a-c42f-4d74-b3d7-b400048ee8b7,2
10a90c7d-6459-45b3-a0f2-a507a54bbc9f,2
10cb9850-c9ca-4cc1-a041-a43cf6634d36,21
11314af8-aad0-4414-a961-e91b88fd4abb,4
116f7655-c1cc-475e-a567-2f5f2b358f73,659
1179f3c2-4501-4d27-b5f7-1e3440de12e7,142
11f7be1d-fdf3-4753-bfb0-c61ddbde3303,1
1218ac4d-966d-48a9-8368-981aa4f7a907,794
12390b9a-b506-4a76-a7b7-6585a576275a,5
126340b0-b00e-44df-9702-e6b6bcdabf27,21
12c99f46-685a-4e09-8917-e43e0c1fd63a,105
12f9b2e6-7b63-4bc9-81df-48808a45d568,39
130eea59-ef11-4fb4-91c7-ad51fe5af069,162
139a966c-22d5-486b-bff2-cfcbccd6fdfc,236
147834a9-fbff-4357-b8b8-e755c62df2ce,10472
14c7ada0-fec5-422c-bb2e-a529df8a0ffc,13
14d5676a-2c54-4f94-9023-1e8dcd822aa0,1875
14df967d-1720-4be2-88be-5e9bbda53991,8
16e7e918-38c8-4679-a612-22d933d34946,164
170fd706-23a1-4036-b29e-57f4b2cb7bed,516
178db2b3-112b-4146-abb2-87a13cf3a660,1
178f1599-b6a2-4f49-b10e-add00387711f,3
17a8203e-9d1b-4d70-86e0-f55ea53148b1,122
1876c0d1-bc99-42e6-bf9e-f9e4831023e0,189
19369ff7-ef17-44ef-8df2-c02b3132fffd,332
19979096-dada-4247-a5f9-92601a933221,28
19cb2741-a430-4139-8680-e11eba996978,41
1a6d5bcd-cb62-468f-967f-fd25e18c3b8c,2483
1aaa6e74-593c-4a7c-a83e-ca8cbb4c6511,1214
1abb010f-6a79-439f-9cb1-66f210c74c71,3
1b11a5e3-6991-44fd-848b-6fd9c1368c58,6
1b4f3056-a565-4b7e-abff-a996105000e5,4
1ba9fcec-441b-44ad-97fc-896240427039,11
1beb7859-5eba-42a3-8aec-843e63d16185,27
1c00952b-574b-4307-9b07-6ae9ef4dd44d,67
1c2d9ae7-5518-40e2-8e12-1bc7e6a1d641,12
1c736f5f-18d4-40d3-b25a-ec9d3c3500c7,2484
1c8154f9-a6a9-4302-b09a-78ab079dccc8,18
1ca5dd25-ba19-4e22-9890-2755c51ecc4b,5
1cd10854-e401-4822-ae48-adaeeedc647d,7012
1cd2fdd6-24d3-4402-905f-8a72ddffd3ad,1
1cfc1912-b20c-4a51-8935-999d3580e398,26
1d44c7cb-33bb-4198-bdba-9114d10a68f0,13
1d9d4582-b0aa-4e91-96cb-f80a0de21680,637
1ebea052-40f2-4544-831b-869591067a80,21
1edd9aea-2fc9-4789-abc6-7826e88af037,5
1f0ac511-f71d-46f6-9ae8-87e1d6b69e92,10
1f180ec9-b5cc-4417-a700-51a7eb3c415b,314
1f523a5d-5349-467c-a5ef-f688c38106b5,2
202af80e-3bd1-4856-9f67-833588872230,71
2092da06-aade-460b-9525-3098eca9abbc,28
20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e,52164
20f7dc5e-f6b6-4cba-8db3-4a522b7d08d8,168
2120e938-254a-4de9-a5d4-2e7b4d7a5493,55
2150bbfa-51d0-4557-ab15-fb9459881eb7,584
217a1e61-33a1-471e-bb05-76cd2e22cb06,94
219285f8-b3c9-4c34-963e-bdd3c14692fd,418
21bf0727-d25f-4bf0-bcd7-2e103527cf1f,2
2229752a-7d50-4632-a338-0930a6d792d1,5
22eda51a-cffe-4c7e-b974-446a5fb0e1bb,31
23217c21-b3e3-4a39-b699-14924cdc1ad3,3100
233ba471-91a2-47a4-9946-b7e844f2124c,595
23ec2d04-c0eb-4ca4-afb8-a8710e38f641,3864
244de083-48f9-4000-b8bf-8988e5d063aa,1
245ba352-b580-46bf-aa17-1ba70ee750fc,64
249791f0-eb16-40ec-830d-68506a611578,3
24baf0da-60a9-4a13-99d7-a8c860c3cb30,48844
253ec34a-3492-45b5-a8df-d01ebde24bd2,210
25c6f98b-1820-4822-b575-a192eec9c321,447
25d4f82b-b2bc-4197-bc11-27c8e9a25439,12075
25e3e8f1-86ee-440c-adfc-8e63759a6505,646
26e9823f-0545-4b67-9e6d-30b16d657835,1104
27108396-6c3d-4bbd-a98f-7b8fcce2f12b,61
271c444f-f8d8-4986-b748-e7367755c0c1,87897
27268afd-83c0-4299-bb5e-7748e037c196,1
2819ce12-fa31-4df2-81e7-296f1ef493d1,106
284f1484-10b7-4ef5-87b7-9de1159e6b42,418
286f4782-2f06-41e2-8c09-002607f599d4,10
289f4bfc-4460-43c4-bd43-5248e32f53be,10858
28de8f2c-9737-4d46-bfc2-6d8cf2efcfee,3
295b6ac2-7fd6-4920-875c-b8752f4df9a1,9
2985efd1-45b1-46de-b6db-0465d2834a5a,8179
29c1d93e-fff9-45c8-8b28-5761b2bcdf64,123
29ce88ff-5cf1-47fd-af44-8477c52c910c,777
2a101f26-35e1-4197-94ec-bd25033292a7,65
2a1ecb70-00a2-46c3-bc8b-94d8f2eeb0bb,3
2a513d16-f4ce-4252-974f-2486ce70b788,40146
2a54253f-401a-4c0c-8abf-bd9b5cdc8011,377
2a5ec2a2-ca47-469c-9ccd-43826d9bf7a8,21
2a6a151d-f079-4bff-89ac-6ba3e9588a21,141
2aaf8ea9-0460-41d2-a651-3583479947c6,875
2ab2941b-3c00-408a-a7f3-5275ad7d1216,3
2ac4b2f0-9887-4d25-a8fa-f94391e87919,2
2ae1fe04-6f12-4766-bdee-50e5b2dc1148,33
2b87996c-8a30-4b2c-aca5-effa7d0fd0a7,9
2bbdfd35-4881-4ce2-a0e5-6d457f01f3cc,24
2bee4a91-9d92-430e-a87e-ab32d3b1ce47,8
2bf7b2c0-34dc-4458-8ee4-4f99fac03b33,42
2c28a663-db16-48d3-9cd0-3c7ec8d8d873,656
2c5b0d56-93bf-43d8-870f-adfd8c4c2c39,14285
2c7c72b2-ac29-4be3-a95f-6b09e8f4b932,909
2c913302-43b2-4e8e-813f-2d6bb33f4c7e,30
2ce65268-cf51-4ecb-bb36-ce615564c255,252
2d519945-a6de-49ee-96e3-de80099cc339,108
2d684bb5-ea11-4709-ae12-8fc0a800287f,7192
2da4d785-ad98-40bd-9cd9-2285c19285e9,1
2dfafe29-f0ae-4668-9e03-d0aa7e80dd8d,34
2e102194-f384-4712-89a4-5db7a3fc409a,299
2e13e783-dbff-4ecf-a3ff-f1bb434fec81,189
2e409ff6-7714-417e-89ef-678207f66071,89
2e4cc37b-302e-4f1b-bbbb-1f674ff90e14,16218
2eb5a1d1-0436-4d3d-af87-2842ddd86c36,65
2f41cb78-04a3-4322-ab2d-1eaa2c296aa4,6
2f63bb07-dbb6-4f9f-9507-ff75f77a4512,7
2f7d526c-750a-41ae-a98e-ddcfb6550d79,39
2f8ec7b5-87d7-43d4-bafc-2de617998c34,12
2fa46259-69f3-4fe0-946a-b64f3e61d83b,104
2fac9c25-36ec-4291-afdb-15674e5b71cc,1
2fb91891-0466-44c1-ae72-bad4d372a1bf,15
3006c2fd-b596-4368-b3b0-fd06116251da,1
304d9604-b355-43b9-be0b-623b1711cd5e,1
307ddcff-6195-4f43-8f49-515ccca112a7,171
312bb844-4980-4b1a-a64b-e79f9ac083a4,8586
3186cd3f-a7d0-4e64-bb60-630e20a47fa6,563
31da52cd-6114-439d-be0a-700bf52de8f3,151
31fa7438-297c-4d4c-897b-668c9a921d72,2
31fa9834-6779-4249-8007-a1db79970d65,2
3236cdc4-2f4d-4bd6-b53f-54fd8d8a0aa8,1466
32682bd4-45ff-472b-b4fa-eb75d271c1ce,213
32acd21c-e784-4b54-96c1-8c0b315bf3d5,1
32af8256-1d91-4f32-8bca-d6339576938f,28
33325913-c769-48ca-b7fc-1d22dfa9beee,1
33785ae9-207b-4cad-9511-56d8a6ee58a3,2
3427d02c-2723-47b5-913b-9193269f0a6d,1957
344742ba-29c4-4349-9b63-ad33f4a61067,4
345820cc-a0a8-4d76-b7eb-fba85b21ad08,2
345d33dc-e7f7-4da8-980d-e7e66acab754,78
35752720-9dc9-40ce-aea5-63915e8aeb0e,603
359fc1ba-09d2-4d50-89ba-68eb702236f7,1
35cfb386-7bd4-40a8-ba95-813b5f827671,19
35db6844-23dd-43c0-a247-9f4fa1c9faf0,6
3605fc59-7500-46c6-9451-b8967f5783ac,6
36555a0c-8361-42c4-9f78-805816266f2e,146338
36d27777-f6fa-454e-9a70-c4e9a8a547f3,6
378264b9-9622-4dc0-9b18-b39818c8898e,203
37beb6ea-e591-41e3-b781-e384250dc42c,48902
37d71109-216b-461d-b3a4-a100eef077cc,40
37dddcd2-ed51-4ada-86df-37449162f404,27
37e09252-7afd-43fa-825a-9eef15614ad7,322
37f48e00-1fe8-11dc-b461-b8a03c50a862,135550
380a3068-382a-4435-af14-951a8051ea7a,23
381802fd-f387-4d3e-a4d4-de13d5cdb3fa,9
38637c59-74bd-435d-a924-77f17c4f4e60,4
38b496a8-65cf-4278-b4f1-3be314bba3af,520
38b4c89f-584c-41bb-bd8f-cd1def33e92f,699029
39131221-61c0-417e-a0c6-dc00745917a7,347
39424411-12e2-46c0-ac1f-086fa430aa53,449
39648a70-b461-11dc-bc42-b8a03c50a862,470
3965d122-ad7d-463e-90be-7eaa006bea18,2169
3995de8f-297d-4e5a-ac3a-0aacf521b24c,41
39a96bb1-2fbd-4994-92f3-c1fc79b1bba3,20
39cade9c-de7d-49e3-968f-d643fa079240,25
3a042642-8151-4ed9-871b-72062df75838,1
3a489e55-ec80-4c62-b6aa-4911372d23c2,3
3b6501fe-b73c-4f74-bd36-106ef7d790d0,1773
3b7c6871-7f02-4990-a684-c43800ce373d,5
3b7f6307-2f03-4f25-9f64-6aa4c3a3aea1,161
3bb78aab-ab42-4841-ac01-3104f8456909,4
3bba0dca-3c66-42fc-9757-da16f431a72c,2
3c089a4c-c5af-4fa0-b46f-1885036b82f4,32
3c22cbde-5f40-4173-a9d3-f068547b660f,1
3c2fb76f-ed3f-40dc-bb40-21adbbd857d5,558
3c3a7955-e23b-45f7-ab29-fe8bc5876585,2611
3c9dfc49-713a-4235-ab0a-947b6840fd4d,6
3cbee9c6-bd69-4fef-aedd-5cda2d2d7781,23
3cf0df27-6416-46a2-ad5e-7d970e5d1a19,111
3d1231e8-2554-45e6-b354-e590c56ce9a8,161
3d6d0a53-8d72-4271-8bf4-ce272caa8d83,336
3dc2a7f6-8d3a-4228-a69c-ec795028fe2f,2862
3e0b024b-ea38-4e78-a97a-9c7544beeea3,58
3e2a280e-33ab-449d-a543-dc97e96a664b,66
3e2c98bb-44f8-4c93-8dfb-ac7f0c21f399,10811
3e95aa8e-a40c-4d34-ad11-7560484f1ff9,1
3ea595af-7af0-44b6-9253-f5c120dbac73,10
3eac82ac-f6e9-4637-b307-2ead71525d25,173
3eb94dd5-c5d2-4a55-947c-7a4d3535ced8,2
3f613fa3-be9e-4eee-9f88-2636b34d54d0,9
3f754072-f6af-42ae-812c-22830062b341,164
3fa9349b-6507-4019-b956-fa3f989c854b,5
3fab912e-e927-4f1c-a97c-eb446cd609e0,180
4023704c-4363-4064-9ce7-fff06176e15d,1
418a6571-b6c1-4db0-b90e-8f36bde4c80e,1992
41d66e74-20bb-4837-aa73-08a03aef9a70,522
41e8840e-57eb-40d4-a1ac-cfda408bc871,2643
42301ebf-d36a-4e4f-a061-d37d778c2365,1
42696cfe-b0fb-459b-9f69-bda6746910e1,1236
43027054-3812-4599-b7bc-a01f1df5b071,6238
43785b7f-8bf6-48cc-90ba-cf6821db7637,1004
43a2e77a-5ad9-40b1-bc62-7a964ffa3210,18
43b370d3-2980-4ab3-998b-b467b2194a79,202
43e642eb-2485-4e5b-9f19-ddba5fabf9ab,51
44f91be3-bac6-4280-bb01-6888b0f94181,362
45da0008-5259-468a-b540-393ebd974b0d,3
4669cfa4-6379-4e7d-8b22-1d977d7d2197,4
47010b29-1e8f-44df-9446-07057c4e1050,3
47ad77fd-6717-4215-b62c-8a300e5a89e4,22
47bbfddf-0e5f-4182-9725-c4f1f718732b,126
47c1f414-e3d6-4035-a522-bde274d2afcd,1
480d9ab0-c682-4cd6-ba78-38cf9ef91087,876
492d63a8-4978-4bc7-acd8-7d0e3ac0e744,4817
494ba938-4fbe-4771-99ac-57f7eafd7c66,11
49604496-95c1-453f-93f3-590b56e57f78,19
499d6265-d9fb-44d4-aec9-02c8bf6cc712,2364
499f7f48-56fc-44a6-b5a4-d4f5e4bfdd97,54
49e2373b-a93a-4943-ae4b-92d54f30971b,27
4a3999b7-f5ce-4b5d-a063-2166d762ba22,6
4a7f53e7-3835-4f02-ad40-cf6e5219d910,11
4a832966-48ad-4d83-858c-044705f74cac,5
4a98d3d0-f2e5-4c70-a1f5-3744b218d55d,1
4aaa8072-3711-4668-8276-deef01ad29bc,36
4b09a9fa-7189-45e3-af0c-e31e909c5001,53
4ba838f7-a61e-4bcd-ad2b-bdc01d6485ea,6
4bb3ef51-df03-42f9-8104-76e9446367b8,5
4bd64435-fb04-494a-a344-0218ea59a7d4,165
4bf3fdf7-5a89-4da4-8994-108a8ecfaf7b,250
4c7fac39-7664-43a9-a01d-6eac3305784e,1
4d05b629-7870-4bea-ad52-37a43d2b7e37,10
4d1bd299-2435-47e2-8fe1-ac949394a40d,9
4d749d70-e2e1-11dd-8102-b8a03c50a862,384
4da624f0-6fb5-4158-af7e-ba9fc3431079,1
4db1f3ca-02e6-4b42-880c-981d7cc76a82,203
4dcfa4f3-7ebe-47d6-bd93-a85315c9f180,14
4df19e80-d3f3-4d50-9a0d-ab92c84b6fa3,7
4e916dc3-010f-4e23-bbe2-50e04f38b7fc,1
4eaec54e-556d-465c-8525-31fdf978f252,2
4ebe5835-851f-43fd-beed-afade357bfc7,40781
4ec3868e-b460-48f0-bd64-8e5daf392827,2475
4ee0b4a2-7769-417f-abd7-0c8c04a9d44a,43
4ef10600-d213-4777-835d-9e134f5f6335,95
4f334096-7243-4231-bdc5-d8390b4885fc,3
4f354a60-2fc7-4038-b9f3-6cde73367cfc,1
4f6de508-f3f6-4be7-a184-1abee52cac1b,8680
4fb3e6d6-67b7-4b1d-8846-407d4fbf8ce3,8
4ffe09c6-5647-4fe5-b1ed-af4b07be47a6,10
505cabc3-7550-4fd1-96dc-6d77d5ffc6de,157
50804764-9c66-4448-8537-6767167e83c5,1447
50c9509d-22c7-4a22-a47d-8c48425ef4a7,146769
51109185-ab25-4c50-bd7e-31fca996ecfe,18
5140e9ce-ca14-4f1f-a5b3-f9023f4e4043,328
514dc3dd-4723-48a6-a219-8a9ea062a537,17
5159a505-7349-493b-ba39-971824c8c02c,1
5161123f-d807-409a-9d09-a9464cfa4876,7
51d648b8-5d7a-4233-b491-d00a8d54b215,1
520237b3-b0b3-47b5-90e1-af12098d6128,1
520909f1-dbca-411e-996c-448d87c6a700,465
52422715-c1db-40a0-ba16-b84a295d248a,76
52ff421c-ce1a-4724-95af-9bf0d2df14a7,1
530d548b-e415-46cc-844e-fb8d1299f710,4
53c36c0e-ae07-4f51-bc1d-983922c8df73,1
53f13c8f-413e-4537-bda6-98666cd7975f,277342
5445131a-b491-44d8-9974-3ec52bde0c47,123
5466bc63-7244-492a-b5f9-db59abeae3d0,32
547f2b71-ba25-4254-aaf1-4823600e7784,29
54f946aa-2ca9-4a51-9ee5-011219e0381e,2
557146f2-4f90-43ad-a2eb-c4f9ace7a2df,28
5629f624-487c-4317-bf46-86030aec1468,623
563a2a42-3e49-456a-806e-153213f6e097,21
565e1655-fa5a-4449-b595-436df67e6b7b,10
56a946bf-bd42-4a54-8543-4380d92f9762,308
572a4f02-fae9-4052-a10d-03fecbeb18de,49
57886648-0811-497a-8df3-1a140a388fc3,15
57d403f4-9d00-4651-8e26-1f4e81a21181,1089
5841a257-8f7d-433f-8882-5a10e10fd7e3,19
5847c3fb-dce6-4b16-b816-c20635898e04,3
594e1181-c38a-4f44-b78c-ceab50351cca,5705
59670186-8444-4ff7-b2c0-a8e7294e3b22,1
598e2f1d-0f35-4bf4-9fa9-3a63fd6912d9,403
59bc8df0-0c71-11dd-84d4-b8a03c50a862,1255
59f14999-c588-4272-b18a-2ef0cc9fc7b5,6
5a1b62b2-4a1f-4404-b481-87836564d4a5,2848
5a45258b-c70d-4939-81a8-0110065c015c,2
5a6b5bd4-cf31-4d5f-9a85-a331b7178a77,1183
5b96aeff-50f8-4af9-9ccf-e88201fe1205,3
5ba80225-cbaa-403c-ad6e-f1d2063b27ab,1
5c590b76-5874-4bc1-95f3-07d0f0c8b55c,5
5c628ff4-7406-4d8c-9a6b-276eb02eb305,39
5c9aa10c-3d7f-46ab-b06f-11f49ca1a6d3,3
5cc9ff48-37b9-409b-9dfa-9b8b73014f46,24
5cd671a0-8a45-46ea-848e-d782a529cacb,616
5cff5cac-c511-4cb4-89b1-c9a49cc77f49,4
5d243972-6de3-4917-abfc-a2cd0c8438a9,2
5d2f6092-6dcd-496b-abba-6d9e95ccc801,58
5d324121-3c3c-429b-85f5-5f61a967d8c0,261
5d3bd3a3-b4b6-41f5-968d-8b8f99340800,219
5d784d06-fa1d-4f00-8cdc-663d04d26061,1766
5df3c9be-d9a1-4c36-a5bc-bdf88b78dbe3,31
5e2c9b3a-9d7c-4871-af8c-144e4f40e9d2,3
5e34ffdf-2648-4ecf-ab53-555e3d3d8d2b,206
5e39eb71-b166-42b3-8367-6b106d183751,76
5e43a220-a91d-485b-b608-58fd22693be7,587
5e50896f-8bbd-43e7-9ba5-ef7ed7b3e865,18
5e610094-df1e-4073-85cb-260091509e1e,554
5f06e39d-81cf-4606-8891-6db72600231b,77398
5f4ee9ad-6c14-4077-8ddc-62e25c09b3df,39
5f643049-1ace-42ea-8756-b4656171cc53,1
5f65fadb-106f-4d96-95b8-abc7fab492cc,252
5fe48e2c-a83d-43b7-952a-e1e62c49ad23,141
602b5978-0777-41d7-8c9f-44f459b0f8ef,537
60954cb1-3b60-48e7-a2c1-75ffcb6d16cd,223
60de59a4-c428-4d49-873d-b117bea1fcc9,25
61313732-a660-4fdf-9cfb-0d13d4553bbe,118
613eeefc-f762-11e1-a439-00145eb45e9a,3
61401066-f762-11e1-a439-00145eb45e9a,2
614245e8-f762-11e1-a439-00145eb45e9a,5
6143645a-f762-11e1-a439-00145eb45e9a,4
61447af2-f762-11e1-a439-00145eb45e9a,3
61459586-f762-11e1-a439-00145eb45e9a,1
6146b07e-f762-11e1-a439-00145eb45e9a,2
61490c2a-f762-11e1-a439-00145eb45e9a,10
614a2be6-f762-11e1-a439-00145eb45e9a,5
614b4cc4-f762-11e1-a439-00145eb45e9a,1
61510b78-f762-11e1-a439-00145eb45e9a,2
61522f58-f762-11e1-a439-00145eb45e9a,2
6158f5c2-f762-11e1-a439-00145eb45e9a,2
615a1d6c-f762-11e1-a439-00145eb45e9a,10
615d892a-f762-11e1-a439-00145eb45e9a,1
6160f524-f762-11e1-a439-00145eb45e9a,2
61633bf4-f762-11e1-a439-00145eb45e9a,2
61645fd4-f762-11e1-a439-00145eb45e9a,2
6166a992-f762-11e1-a439-00145eb45e9a,7
6168ffc6-f762-11e1-a439-00145eb45e9a,8
616a1dfc-f762-11e1-a439-00145eb45e9a,1
616b40e2-f762-11e1-a439-00145eb45e9a,5
616c5d60-f762-11e1-a439-00145eb45e9a,4
616eaa0c-f762-11e1-a439-00145eb45e9a,3
6171366e-f762-11e1-a439-00145eb45e9a,4
61727cb8-f762-11e1-a439-00145eb45e9a,1
6173ab24-f762-11e1-a439-00145eb45e9a,9
6174d7a6-f762-11e1-a439-00145eb45e9a,2
6175ff28-f762-11e1-a439-00145eb45e9a,5
6178cb40-f762-11e1-a439-00145eb45e9a,1
617a519a-f762-11e1-a439-00145eb45e9a,1
