species,limit,n_records
Pritchardia martii,50000,16
Pritchardia minor,50000,3
Pritchardia munroi,50000,6
Pritchardia napaliensis,50000,4
Pritchardia perlmanii,50000,0
Pritchardia remota,50000,3
Pritchardia schattaueri,50000,0
Pritchardia viscosa,50000,0
Pritchardia waialealeana,50000,2
Proserpinaca intermedia,50000,20
Proserpinaca palustris,50000,693
Proserpinaca pectinata,50000,205
Prosopis glandulosa,50000,6321
Prosopis pubescens,50000,519
Prosopis velutina,50000,1245
Prunella vulgaris,50000,50000
Prunus americana,50000,1595
Prunus angustifolia,50000,586
Prunus besseyi,50000,20
Prunus caroliniana,50000,1204
Prunus emarginata,50000,1783
Prunus gracilis,50000,84
Prunus harvardii,50000,0
Prunus hortulana,50000,145
Prunus maritima,50000,365
Prunus mexicana,50000,872
Prunus munsoniana,50000,125
Prunus murrayana,50000,10
Prunus pensylvanica,50000,2532
Prunus rivularis,50000,223
Prunus serotina,50000,50000
Prunus subcordata,50000,344
Prunus umbellata,50000,255
Pseudotsuga macrocarpa,50000,427
Pseudotsuga menziesii,50000,46439
Psidium guajava,50000,8510
Psilocarphus brevissimus,50000,561
Psilocarphus tenellus,50000,614
Psoralea esculenta,50000,721
Psoralea reverchonii,50000,7
Psorothamnus spinosus,50000,1108
Psorothamnus thompsoniae,50000,50
Psychotria grandiflora,50000,4
Psychotria greenwelliae,50000,18
Psychotria hobdyi,50000,6
Psychotria ligustrifolia,50000,65
Psychotria nervosa,50000,1436
Psydrax odorata,50000,2992
Ptelea trifoliata,50000,3365
Pteralyxia kauaiensis,50000,14
Pteralyxia macrocarpa,50000,3
Pteris lidgatei,50000,0
Pteris vittata,50000,4195
Puccinellia angustata,50000,968
Puccinellia arctica,50000,345
Puccinellia nuttalliana,50000,1224
Pulicaria arabica,50000,193
Purshia stansburiana,50000,1103
Pycreus bipartitus,50000,29
Pyrus communis,50000,50000
Quadrella cynophallophora,50000,220
Quercus acerifolia,50000,28
Quercus agrifolia,50000,6641
Quercus ajoensis,50000,30
Quercus alba,50000,6745
Quercus arizonica,50000,511
Quercus arkansana,50000,114
Quercus austrina,50000,79
Quercus berberidifolia,50000,1205
Quercus bicolor,50000,1359
Quercus boyntonii,50000,14
Quercus buckleyi,50000,283
Quercus carmenensis,50000,2
Quercus cedrosensis,50000,196
Quercus cerris,50000,9898
Quercus chapmanii,50000,155
Quercus chihuahuensis,50000,377
Quercus chrysolepis,50000,2337
Quercus coccinea,50000,1025
Quercus cornelius-mulleri,50000,479
Quercus depressipes,50000,122
Quercus douglasii,50000,1108
Quercus dumosa,50000,526
Quercus durata,50000,949
Quercus ellipsoidalis,50000,631
Quercus emoryi,50000,846
Quercus engelmannii,50000,689
Quercus falcata,50000,1573
Quercus fusiformis,50000,950
Quercus gambelii,50000,2153
Quercus garryana,50000,3025
Quercus geminata,50000,436
Quercus georgiana,50000,22
Quercus graciliformis,50000,8
Quercus gravesii,50000,186
Quercus grisea,50000,1085
Quercus havardii,50000,220
Quercus hemisphaerica,50000,166
Quercus hinckleyi,50000,7
Quercus hypoleucoides,50000,479
Quercus ilicifolia,50000,808
Quercus imbricaria,50000,582
Quercus incana,50000,275
Quercus inopina,50000,42
Quercus intricata,50000,99
Quercus john-tuckeri,50000,253
Quercus kelloggii,50000,2357
Quercus laceyi,50000,192
Quercus laevis,50000,434
Quercus laurifolia,50000,389
Quercus lobata,50000,2225
Quercus lyrata,50000,374
Quercus macdonaldii,50000,58
Quercus macrocarpa,50000,4833
Quercus margarettae,50000,203
Quercus marilandica,50000,1928
Quercus michauxii,50000,851
Quercus minima,50000,137
Quercus mohriana,50000,128
Quercus montana,50000,1523
Quercus muehlenbergii,50000,1924
Quercus myrtifolia,50000,233
Quercus nigra,50000,2557
Quercus oblongifolia,50000,297
Quercus oglethorpensis,50000,19
Quercus pacifica,50000,170
Quercus pagoda,50000,405
Quercus palmeri,50000,373
Quercus palustris,50000,2979
Quercus parvula,50000,373
Quercus phellos,50000,1781
Quercus polymorpha,50000,832
Quercus prinoides,50000,566
Quercus pumila,50000,138
Quercus pungens,50000,257
Quercus robusta,50000,10
Quercus rubra,50000,50000
Quercus rugosa,50000,2450
Quercus sadleriana,50000,206
Quercus shumardii,50000,972
Quercus similis,50000,44
Quercus sinuata,50000,339
Quercus stellata,50000,2529
Quercus tardifolia,50000,1
Quercus texana,50000,184
Quercus tomentella,50000,263
Quercus toumeyi,50000,171
Quercus turbinella,50000,1308
Quercus vacciniifolia,50000,506
Quercus vaseyana,50000,117
Quercus velutina,50000,2379
Quercus viminea,50000,328
Quercus virginiana,50000,1365
Quercus wislizeni,50000,1298
Randia aculeata,50000,2060
Randia obcordata,50000,297
Ranunculus allenii,50000,96
Ranunculus ambigens,50000,73
Ranunculus aquatilis,50000,36982
Ranunculus cymbalaria,50000,1440
Ranunculus flabellaris,50000,151
Ranunculus flammula,50000,50000
Ranunculus gmelinii,50000,1403
Ranunculus hederaceus,50000,13544
Ranunculus hispidus,50000,1683
Ranunculus hyperboreus,50000,3655
Ranunculus lobbii,50000,63
Ranunculus macounii,50000,734
Ranunculus reptans,50000,20219
Ranunculus sceleratus,50000,50000
Ranunculus trichophyllus,50000,27285
Remya kauaiensis,50000,11
Remya montgomeryi,50000,1
Rhexia virginica,50000,904
Rhipsalis baccifera,50000,2481
Rhizophora mangle,50000,7700
Rhododendron catawbiense,50000,575
Rhododendron macrophyllum,50000,610
Rhododendron maximum,50000,1503
Rhodomyrtus tomentosa,50000,704
Rhus copallinum,50000,0
Rhus glabra,50000,4345
Rhus integrifolia,50000,3674
Rhus microphylla,50000,903
Rhus ovata,50000,2888
Rhus typhina,50000,15884
Rhus virens,50000,1252
Rhynchosia minima,50000,7751
Rhynchosia senna,50000,857
Rhynchospora alba,50000,48497
Rhynchospora capillacea,50000,289
Rhynchospora capitellata,50000,816
Rhynchospora fusca,50000,17949
Rhynchospora macrostachya,50000,257
Rhynchospora rugosa,50000,2118
Ribes glandulosum,50000,1602
Robinia hispida,50000,430
Robinia neomexicana,50000,639
Robinia pseudoacacia,50000,50000
Rorippa austriaca,50000,5038
Rorippa curvisiliqua,50000,1739
Rorippa islandica,50000,11849
Rorippa microphylla,50000,2182
Rorippa sylvestris,50000,50000
Rosa acicularis,50000,9001
Rosa palustris,50000,1156
Rotala indica,50000,1170
Rotala ramosior,50000,946
Rubus arcticus,50000,26031
Rubus chamaemorus,50000,50000
Rubus pedatus,50000,1085
Rubus pubescens,50000,2459
Rumex britannica,50000,273
Rumex occidentalis,50000,700
Ruppia maritima,50000,10107
Sabal mexicana,50000,461
Sabal minor,50000,1289
Sabatia kennedyana,50000,77
Sadleria wagneriana,50000,2
Sagittaria brevirostra,50000,228
Sagittaria cristata,50000,161
Sagittaria cuneata,50000,1332
Sagittaria graminea,50000,798
Sagittaria latifolia,50000,4950
Sagittaria rigida,50000,445
Salicornia rubra,50000,324
Salix alaxensis,50000,1383
Salix alba,50000,0
Salix amygdaloides,50000,2055
Salix arbusculoides,50000,1019
Salix athabascensis,50000,330
Salix barclayi,50000,1500
Salix bebbiana,50000,6799
Salix bonplandiana,50000,1222
Salix candida,50000,1269
Salix caroliniana,50000,789
Salix cinerea,50000,50000
Salix commutata,50000,575
Salix discolor,50000,3900
Salix eriocephala,50000,2348
Salix exigua,50000,4692
Salix farriae,50000,135
Salix floridana,50000,17
Salix geyeriana,50000,955
Salix glauca,50000,27600
Salix gooddingii,50000,1751
Salix hookeriana,50000,263
Salix interior,50000,2120
Salix lanata,50000,9646
Salix lasiolepis,50000,3780
Salix ligulifolia,50000,380
Salix lucida,50000,3971
Salix lutea,50000,532
Salix maccalliana,50000,213
Salix melanopsis,50000,648
Salix monticola,50000,804
Salix myricoides,50000,476
Salix myrtillifolia,50000,788
Salix nigra,50000,3479
Salix pedicellaris,50000,1080
Salix pellita,50000,355
Salix petiolaris,50000,1380
Salix planifolia,50000,2579
Salix prolixa,50000,592
Salix pseudomyrsinites,50000,217
Salix pyrifolia,50000,1134
Salix raupii,50000,18
Salix richardsonii,50000,985
Salix scouleriana,50000,628
Salix sericea,50000,641
Salix serissima,50000,612
Salix sessilifolia,50000,215
Salix sitchensis,50000,1516
Salix taxifolia,50000,589
Sambucus racemosa,50000,50000
Samolus valerandi,50000,36000
Sanguisorba officinalis,50000,50000
Sanicula mariversa,50000,3
Sanicula purpurea,50000,5
Santalum freycinetianum,50000,112
Santalum paniculatum,50000,31
Sapindus oahuensis,50000,15
Sapindus saponaria,50000,4675
Sarcobatus vermiculatus,50000,1066
Sarracenia alata,50000,674
Sarracenia flava,50000,626
Sarracenia leucophylla,50000,369
Sarracenia minor,50000,410
Sarracenia oreophila,50000,7
Sarracenia psittacina,50000,266
Sassafras albidum,50000,6968
Saururus cernuus,50000,1925
Saxifraga foliolosa,50000,847
Saxifraga hirculus,50000,7240
Scheuchzeria palustris,50000,26430
Schiedea adamantis,50000,5
Schiedea apokremnos,50000,9
Schiedea attenuata,50000,0
Schiedea haleakalensis,50000,0
Schiedea helleri,50000,9
Schiedea hookeri,50000,8
Schiedea kaalae,50000,5
Schiedea kauaiensis,50000,1
Schiedea kealiae,50000,9
Schiedea lychnoides,50000,4
Schiedea lydgatei,50000,1
Schiedea mannii,50000,0
Schiedea membranacea,50000,2
Schiedea nuttallii,50000,11
Schiedea perlmanii,50000,1
Schiedea sarmentosa,50000,8
Schiedea spergulina,50000,11
Schiedea stellarioides,50000,29
Schiedea verticillata,50000,1
Schiedea viscosa,50000,11
Schizaea pusilla,50000,185
Schizostachyum glaucifolium,50000,62
Schoenoplectiella mucronata,50000,1775
Schoenoplectiella purshiana,50000,339
Schoenoplectiella saximontana,50000,92
Schoenoplectiella smithii,50000,355
Schoenoplectus acutus,50000,1998
Schoenoplectus americanus,50000,1469
Schoenoplectus heterochaetus,50000,146
Schoenoplectus subterminalis,50000,526
Schoenoplectus tabernaemontani,50000,39566
Schoenoplectus torreyi,50000,246
Schoenoplectus triqueter,50000,4796
Schoenus nigricans,50000,33837
Schoepfia schreberi,50000,890
Scirpus ancistrochaetus,50000,2
Scirpus atrocinctus,50000,982
Scirpus atrovirens,50000,1594
Scirpus cyperinus,50000,2448
Scirpus expansus,50000,127
Scirpus georgianus,50000,451
Scirpus hattorianus,50000,516
Scirpus longii,50000,25
Scirpus microcarpus,50000,2217
Scirpus pallidus,50000,370
Scirpus pedicellatus,50000,277
Scirpus pendulus,50000,923
Scleria distans,50000,1271
Scleria lithosperma,50000,1099
Scleria reticularis,50000,377
Scleria triglomerata,50000,666
Scleria verticillata,50000,358
Sclerocactus brevihamatus,50000,50
Sclerocactus brevispinus,50000,1
Sclerocactus erectocentrus,50000,58
Sclerocactus glaucus,50000,15
Sclerocactus intertextus,50000,154
Sclerocactus johnsonii,50000,120
Sclerocactus mariposensis,50000,13
Sclerocactus mesae-verdae,50000,4
Sclerocactus nyensis,50000,13
Sclerocactus papyracanthus,50000,2
Sclerocactus parviflorus,50000,168
Sclerocactus polyancistrus,50000,46
Sclerocactus pubispinus,50000,12
Sclerocactus scheeri,50000,110
Sclerocactus sileri,50000,0
Sclerocactus spinosior,50000,4
Sclerocactus uncinatus,50000,341
Sclerocactus warnockii,50000,41
Sclerocactus wetlandicus,50000,0
Sclerocactus whipplei,50000,20
Sclerocactus wrightiae,50000,3
Scolochloa festucacea,50000,50000
Scrophularia umbrosa,50000,27447
Scutellaria galericulata,50000,50000
Scutellaria lateriflora,50000,1752
Selenicereus grandiflorus,50000,269
Selenicereus spinulosus,50000,140
Senecio hydrophilus,50000,232
Senegalia berlandieri,50000,780
Senegalia greggii,50000,2223
Senegalia roemeriana,50000,145
Senna obtusifolia,50000,7570
Senna pendula,50000,5241
Sequoia sempervirens,50000,4470
Sequoiadendron giganteum,50000,2246
Sesbania drummondii,50000,679
Setaria parviflora,50000,13036
Setaria setosa,50000,99
Shepherdia argentea,50000,520
Sidalcea hendersonii,50000,137
Sideroxylon celastrinum,50000,579
Sideroxylon lycioides,50000,107
Silene alexandri,50000,0
Silene perlmanii,50000,0
Silene vulgaris,50000,50000
Simarouba glauca,50000,533
Sium suave,50000,2176
Solanum bahamense,50000,559
Solanum incompletum,50000,4
Solanum jamesii,50000,1590
Solanum stoloniferum,50000,5613
Solidago houghtonii,50000,90
Solidago latissimifolia,50000,210
Solidago ohioensis,50000,612
Solidago patula,50000,415
Solidago riddellii,50000,560
Solidago uliginosa,50000,2114
Sonchus palustris,50000,12940
Sophora affinis,50000,563
Sophora gypsophila,50000,5
Sophora nuttalliana,50000,667
Sorbus americana,50000,1403
Sorbus decora,50000,766
Sorbus scopulina,50000,745
Sorbus sitchensis,50000,561
Sparganium americanum,50000,1004
Sparganium androcladum,50000,178
Sparganium angustifolium,50000,22163
Sparganium emersum,50000,50000
Sparganium erectum,50000,50000
Sparganium eurycarpum,50000,1162
Sparganium fluctuans,50000,364
Sparganium glomeratum,50000,3886
Sparganium hyperboreum,50000,5376
Sparganium natans,50000,27029
Spartina alterniflora,50000,827
Spartina gracilis,50000,0
Spartina pectinata,50000,1340
Spathodea campanulata,50000,2150
Spergularia bocconei,50000,4168
Spergularia marina,50000,35207
Spermacoce tetraquetra,50000,196
Sphaerocarpos drewei,50000,8
Sphaerophysa salsula,50000,325
Sphenoclea zeylanica,50000,1416
Spiranthes brevilabris,50000,19
Spiranthes casei,50000,165
Spiranthes delitescens,50000,0
Spiranthes diluvialis,50000,20
Spiranthes infernalis,50000,9
Spiranthes parksii,50000,11
Spiranthes romanzoffiana,50000,2991
Spiranthes torta,50000,105
Spirodela polyrhiza,50000,50000
Sporobolus coahuilensis,50000,10
Stachys palustris,50000,50000
Staphylea trifolia,50000,1704
Stellaria calycantha,50000,751
Stellaria humifusa,50000,1329
Stenocereus thurberi,50000,1102
Stenogyne bifida,50000,6
Stenogyne campanulata,50000,0
Stenogyne kanehoana,50000,4
Stenogyne kealiae,50000,1
Stewartia malacodendron,50000,179
Stewartia ovata,50000,87
Stictocardia tiliifolia,50000,334
Stipa kingii,50000,8
Stipa scribneri,50000,121
Strumpfia maritima,50000,165
Stuckenia filiformis,50000,9641
Stuckenia pectinata,50000,50000
Stuckenia vaginata,50000,1053
Styrax americanus,50000,243
Styrax grandifolius,50000,0
Subularia aquatica,50000,11817
Suriana maritima,50000,1126
Swietenia mahagoni,50000,304
Symphyotrichum anticostense,50000,99
Symphyotrichum boreale,50000,966
Symphyotrichum ciliatum,50000,509
Symphyotrichum lanceolatum,50000,13097
Symphyotrichum nahanniense,50000,4
Symphyotrichum praealtum,50000,684
Symphyotrichum puniceum,50000,2093
Symplocarpus foetidus,50000,6808
Symplocos tinctoria,50000,599
Syringodium filiforme,50000,6874
Syrmatium tomentosum,50000,566
Tabebuia heterophylla,50000,414
Tabernaemontana alba,50000,1636
Takakia ceratophylla,50000,114
Tamarix ramosissima,50000,3635
Taxodium distichum,50000,5232
Taxodium mucronatum,50000,1419
Taxus brevifolia,50000,980
Taxus canadensis,50000,2000
Taxus floridana,50000,32
Tecoma stans,50000,6570
Tephrosia angustissima,50000,0
Tephrosia onobrychoides,50000,110
Tephrosia seminole,50000,0
Tetramolopium capillare,50000,0
Tetramolopium rockii,50000,6
Tetrazygia bicolor,50000,181
Thalassia testudinum,50000,27387
Thelocactus bicolor,50000,311
Thelocactus setispinus,50000,176
Thelypteris palustris,50000,42151
Thermopsis montana,50000,1008
Thespesia populnea,50000,1474
Thuja occidentalis,50000,7401
Thuja plicata,50000,5496
Tilia americana,50000,5440
Tillandsia fasciculata,50000,1871
Tillandsia ionantha,50000,426
Tillandsia usneoides,50000,5652
Torreya californica,50000,540
Torreya taxifolia,50000,243
Torreyochloa pallida,50000,1284
Toxicodendron vernix,50000,884
Tradescantia occidentalis,50000,1009
Trapa natans,50000,6895
Trema cannabinum,50000,0
Trema lamarckiana,50000,135
Trema micranthum,50000,0
Trema tomentosum,50000,0
Trematolobelia kauaiensis,50000,8
Trematolobelia singularis,50000,2
Triadenum fraseri,50000,787
Triadenum virginicum,50000,728
Triadica sebifera,50000,4068
Trichophorum alpinum,50000,33189
Trichophorum caespitosum,50000,22588
Trichophorum clintonii,50000,121
Trichostigma octandrum,50000,680
Trientalis borealis,50000,866
Trifolium amabile,50000,1125
Trifolium bejariense,50000,16
Trifolium ciliolatum,50000,544
Trifolium gymnocarpon,50000,159
Trifolium parryi,50000,310
Trifolium pratense,50000,50000
Trifolium subterraneum,50000,21203
Triglochin maritima,50000,50000
Triglochin scilloides,50000,746
Triphora amazonica,50000,4
Triphora craigheadii,50000,1
Triphora yucatanensis,50000,7
Tripidium ravennae,50000,1855
Tripsacum lanceolatum,50000,443
Triumfetta semitriloba,50000,2001
Trixis inula,50000,2266
Trollius laxus,50000,640
Tsuga canadensis,50000,10695
Tsuga caroliniana,50000,193
Tsuga heterophylla,50000,5267
Tsuga mertensiana,50000,926
Typha angustifolia,50000,50000
Typha domingensis,50000,13318
Typha latifolia,50000,50000
Ulex europaeus,50000,50000
Ulmus alata,50000,1022
Ulmus americana,50000,4901
Ulmus crassifolia,50000,1797
Ulmus glabra,50000,50000
Ulmus rubra,50000,1574
Ulmus serotina,50000,47
Ulmus thomasii,50000,981
Umbellularia californica,50000,4406
Urera kaalae,50000,2
Urtica dioica,50000,50000
Utricularia amethystina,50000,515
Utricularia cornuta,50000,1171
Utricularia floridana,50000,17
Utricularia foliosa,50000,1221
Utricularia geminiscapa,50000,299
Utricularia gibba,50000,3612
Utricularia intermedia,50000,23051
Utricularia juncea,50000,344
Utricularia ochroleuca,50000,2169
Utricularia olivacea,50000,28
Utricularia purpurea,50000,637
Utricularia radiata,50000,316
Utricularia resupinata,50000,156
Utricularia striata,50000,41
Utricularia subulata,50000,1510
Vaccinium arboreum,50000,1497
Vaccinium macrocarpon,50000,0
Vaccinium oxycoccos,50000,50000
Vaccinium vitis-idaea,50000,50000
Vachellia constricta,50000,774
Vachellia farnesiana,50000,13713
Vachellia macracantha,50000,727
Valeriana dioica,50000,50000
Valeriana uliginosa,50000,231
Vallesia glabra,50000,856
Vallisneria americana,50000,1302
Varronia bullata,50000,226
Ventenata dubia,50000,947
Veronica americana,50000,2753
Veronica catenata,50000,22150
Veronica peregrina,50000,13219
Veronica scutellata,50000,50000
Veronica serpyllifolia,50000,50000
Viburnum lentago,50000,1972
Viburnum nudum,50000,2199
Viburnum prunifolium,50000,1059
Viburnum recognitum,50000,413
Viburnum rufidulum,50000,1423
Vicia lathyroides,50000,21923
Vicia leucophaea,50000,24
Vicia menziesii,50000,4
Vicia minutiflora,50000,69
Vicia ocalensis,50000,3
Vicia tenuifolia,50000,22052
Vigna luteola,50000,3505
Viola chamissoniana,50000,21
Viola helenae,50000,1
Viola lanceolata,50000,1077
Viola macloskeyi,50000,1740
Viola nephrophylla,50000,690
Viola oahuensis,50000,2
Viola obliqua,50000,39
Viola palustris,50000,50000
Viola renifolia,50000,777
Vulpia octoflora,50000,2863
Washingtonia filifera,50000,1390
Wikstroemia bicornuta,50000,6
Wikstroemia skottsbergiana,50000,1
Wikstroemia villosa,50000,2
Wilkesia gymnoxiphium,50000,23
Wilkesia hobdyi,50000,0
Wolffia borealis,50000,173
Wolffia brasiliensis,50000,343
Wolffia columbiana,50000,713
Woodwardia areolata,50000,1355
Woodwardia virginica,50000,1120
Xanthocyparis nootkatensis,50000,795
Ximenia americana,50000,3818
Xylosma crenatum,50000,5
Xylosma flexuosa,50000,0
Xyris difformis,50000,525
Xyris elliottii,50000,185
Xyris montana,50000,288
Yucca baccata,50000,1780
Yucca baileyi,50000,170
Yucca faxoniana,50000,333
Yucca filamentosa,50000,1318
Yucca glauca,50000,1292
Yucca nana,50000,0
Yucca necopina,50000,98
Yucca pallida,50000,241
Yucca reverchonii,50000,16
Yucca rupicola,50000,625
Zamia integrifolia,50000,381
Zannichellia palustris,50000,40951
Zanthoxylum americanum,50000,1455
Zanthoxylum clava-herculis,50000,1483
Zanthoxylum dipetalum,50000,15
Zanthoxylum fagara,50000,2731
Zanthoxylum flavum,50000,93
Zanthoxylum hawaiiense,50000,8
Zanthoxylum kauaense,50000,34
Zanthoxylum oahuense,50000,0
Zapoteca formosa,50000,1950
Zeuxine strateumatica,50000,373
Zingiber zerumbet,50000,392
Zizania aquatica,50000,1283
Zizania palustris,50000,399
Ziziphus celata,50000,0
Zostera asiatica,50000,2
Zostera japonica,50000,164
Zostera marina,50000,29693