scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,5,8,"NA",11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Carex adelostoma,Carex adelostoma,2015,Data Deficient,NA,NA,NA,NA,NA,NA,5098,No,1819965.21783643,13900,LC,892655.80251253,LC,869236.736292958,LC,753121.6203008547,LC,4051,1679352.2504628,11020,LC,864841.760935613,LC,842585.4020192771,LC,729908.4467237308,LC,1047,1640973.81741671,3292,LC,793003.029141754,LC,778161.273942083,LC,688292.8007665426,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Least Concern
Carex heleonastes,Carex heleonastes,2015,Data Deficient,NA,NA,NA,NA,NA,NA,2129,Yes,34029823.1308103,3264,LC,21668782.0046578,LC,21440313.035802968,LC,14561756.476648485,LC,1485,22126060.1593693,2768,NT,15819352.3970828,LC,15416777.137673492,LC,13262239.703072598,LC,644,30228509.0193225,704,VU,13815914.2436583,LC,12176938.485827483,LC,5573187.879319285,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Least Concern
Carex lapponica,Carex lapponica,2015,Data Deficient,NA,NA,NA,NA,NA,NA,560,No,15362701.8368878,1800,VU,9159336.2118483,LC,8764164.149347693,LC,8416665.880601408,LC,497,15362701.8368878,1624,VU,9158194.00809155,LC,8763067.032886464,LC,8415568.764140181,LC,63,367669.347546868,212,EN,228494.953705124,LC,224452.37035215396,LC,187907.51889218658,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Least Concern
Carex laxa,Carex laxa,2015,Data Deficient,NA,NA,NA,NA,NA,NA,710,No,16384161.7251856,1988,VU,10196322.011318,LC,9909324.89958439,LC,9435209.136689369,LC,655,16384161.7251856,1876,VU,10189583.0556558,LC,9903334.849388115,LC,9429219.097159987,LC,55,840403.687203768,148,EN,336739.593915867,LC,345229.6689412993,LC,300746.8617039675,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Least Concern
Catalpa bignonioides,Catalpa bignonioides,2018,Data Deficient,NA,NA,NA,NA,NA,NA,2204,Yes,333131523.21914,2248,NT,136510781.411878,LC,131120292.48135307,LC,65208880.68201458,LC,460,27802344.5623979,892,VU,12402747.9595882,LC,13226993.873190945,LC,3442400.73867637,LC,1744,333131523.21914,1424,VU,136510781.411878,LC,131120292.48135307,LC,65208880.68201458,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Cucurbita palmata,Cucurbita palmata,2017,Data Deficient,916,916,VU,739969,739969,LC,53,Yes,136867.773425218,180,EN,89241.6956295377,LC,89063.41577022844,LC,89063.41577022844,LC,1,0,4,CR,0,CR,0,CR,0,CR,52,136867.773425218,176,EN,89241.6956295377,LC,89063.41577022844,LC,89063.41577022844,LC,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Least Concern
Etlingera elatior,Etlingera elatior,2018,Data Deficient,16,16,EN,95357,95357,LC,203,Yes,198330599.51472,640,VU,161048185.079419,LC,129961582.38363457,LC,44122882.8704133,LC,22,127028926.620725,68,EN,70943739.0892237,LC,62047597.85660063,LC,19203706.634012237,LC,181,198330599.51472,576,VU,157720324.185129,LC,129782456.48554312,LC,44111211.58035788,LC,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Least Concern
Eulophia ecristata,Eulophia ecristata,2014,Data Deficient,NA,NA,NA,NA,NA,NA,4,Yes,4899.8197407369,16,EN,1271.20881992533,EN,1282.7242417695961,EN,1282.7242417695961,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4899.8197407369,16,EN,1271.20881992533,EN,1282.7242417695961,EN,1282.7242417695961,EN,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Helianthus niveus,Helianthus niveus,2014,Data Deficient,484,484,EN,992307,992307,LC,3,Yes,189508.933647466,12,EN,3350.61643497205,EN,3511.5023128595203,EN,2611.115385859461,EN,1,0,4,CR,0,CR,0,CR,0,CR,2,185760.641819018,8,CR,0,CR,0,CR,0,CR,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Endangered
Lespedeza thunbergii,Lespedeza thunbergii,2010,Data Deficient,NA,NA,NA,NA,NA,NA,30,Yes,12476285.9970722,112,EN,6047042.50759149,LC,8880745.404184697,LC,6235361.725326188,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12476285.9970722,112,EN,6047042.50759149,LC,8880745.404184697,LC,6235361.725326188,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Least Concern
Prunus maritima,Prunus maritima,2014,Data Deficient,112,112,EN,67798,67798,LC,13,Yes,87006.6530881797,48,EN,24550.4982992126,NT,24604.407982834033,NT,18506.20545807628,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,87006.6530881797,48,EN,24550.4982992126,NT,24604.407982834033,NT,18506.20545807628,VU,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Near Threatened
Prunus rivularis,Prunus rivularis,2014,Data Deficient,NA,NA,NA,NA,NA,NA,11,Yes,79735045.2296385,44,EN,1534379.6095486,LC,2759066.1539322096,LC,1214519.592370047,LC,9,25562.2096609862,36,EN,11228.5115443333,VU,11282.891963450995,VU,11282.891963450995,VU,2,1029.31302665128,8,CR,0,CR,0,CR,0,CR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Least Concern
Psilocarphus brevissimus,Psilocarphus brevissimus,2015,Data Deficient,NA,NA,NA,NA,NA,NA,12,Yes,2035480.96238178,40,EN,1129633.92933802,LC,1117609.2872564113,LC,1117467.37359552,LC,1,0,4,CR,0,CR,0,CR,0,CR,11,656219.245111207,36,EN,297995.188797491,LC,389041.2613878157,LC,388899.34772692434,LC,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Least Concern
Hylocereus undatus,Selenicereus undatus,2009,Data Deficient,NA,NA,NA,NA,NA,NA,68,Yes,209975848.265027,144,EN,81197876.2855225,LC,82568622.28017311,LC,32330846.682796624,LC,4,5641.04205468403,16,EN,2022.18787566254,EN,2004.5549759477144,EN,1373.5782750892395,EN,64,209962330.9302,128,EN,81190244.3738982,LC,82559124.06539693,LC,32321688.961319964,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Least Concern
Ulmus glabra,Ulmus glabra,2017,Data Deficient,NA,NA,NA,12969325,12969325,LC,28524,No,222091946.449702,54280,LC,73639412.3018799,LC,62398937.74701074,LC,33789453.54517404,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28524,222091946.449702,54280,LC,73639412.3018799,LC,62398937.74701074,LC,33789453.54517404,LC,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Zingiber zerumbet,Zingiber zerumbet,2018,Data Deficient,NA,NA,NA,NA,NA,NA,55,Yes,196247383.408341,212,EN,131039432.323822,LC,115844679.81846654,LC,41405182.163387164,LC,10,79984741.8487882,40,EN,34640946.2800728,LC,27780705.539501693,LC,9823322.345568208,LC,45,196247383.408341,176,EN,131028809.105883,LC,115842605.20573552,LC,41403643.73687136,LC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Least Concern
